CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"Unnamed Road, 40220 Tarnos, France",,North-east Atlantic Ocean,150,,,20190926,Cleanup,,-1.4676394,43.5465009,-1.4676394,43.54650090651112,,2,,,,4,,80,,,4,,,,,,,288,,,,,,262,,,,,,10,1,12,,,,,,,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,760,,19,,,,,,,,,,,,157,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,0
Surfrider Foundation Europe,"8501 Rue de l'?glise, 27740 Poses, France",,Unknown,750,,,20190519,Cleanup,,1.2495199,49.2957058,1.2495199,49.29570580585841,,6,,,15,5,,5,,,,,,,,,,20,,,,,110,237,,,35,4,,11,2,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,16,,,6,,,,,,,,,,,,,,,1,,10,,,,,,,,,,,0
Surfrider Foundation Europe,"30 Place Kl?ber, 67000 Strasbourg, France",,Unknown,750,,,20190609,Cleanup,,7.7428987000000005,48.583824799999995,7.7428987000000005,48.58382480594256,,,,,1,,,10,,,,,,,,,,20,,,,,,300,,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,2,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,30,,,,,,,,,,,,,,,,,5,,,,,,,,,,,0
Surfrider Foundation Europe,"Passatge Mar, 8C, 08390 Montgat, Barcelona, Espagne",ES,Mediterranean Sea,150,,,20190803,Cleanup,,2.2798,41.46567999999999,2.2798,41.465680006731546,,30,,,15,8,,20,,,5,,,,,,,30,,,,,,850,,,20,10,8,20,10,15,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,4,,,,,50,,60,,,,,,,,,,,,50,,,,,20,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,15,,,10,,,,,,,,,,,,,,,10,,6,,,,,,,,10,,,0
EMBLAS,Sarpi,TR,Black Sea,47,Urban,Pebbels,20191028,Cleanup,,41.54773110388203,41.52223295966036,41.548283686359376,41.52218562435337,,3,5,,6,2,,,,,,,,,,,,22,,,,,6,,,,10,5,4,6,2,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,12,5,18,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,5,,5,,,,,,,,,,,,4,,,,12,,2,,,,,,,,5,,,
Black Sea NGO Network || MELTEMI,Kamchia,BG,Black Sea,156,Near river mouth,Sandy,20191019,Cleanup,,27.888799999681574,43.02536667032526,27.888983329661382,43.02396667018512,,,,,6,,,,,,,,,,,,,58,,,,,,450,,,67,,,,17,53,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,3,76,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,
Coder Dojo Dunmore East,Councillors Strand,IE,North-east Atlantic Ocean,120,Urban,Sandy,20190309,Cleanup,,-6.992561196826782,52.15540616211862,-6.99080744434336,52.15530334699911,,1,,,3,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"2 Chemin d'Achotarreta, 64500 Ciboure, France",FR,North-east Atlantic Ocean,150,,,20190726,Cleanup,,-1.6756916,43.3875179,-1.6756916,43.38751790652827,,10,,,2,,,5,,,1,,,,,,,2,,,,,1,20,,,15,1,,,,,,,,,,,,,,,,5,,,,2,,,2,,,,,,,,,,1,,,,,,16,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0
Surfrider Foundation Europe,"Calanque du Mugel, 13600 La Ciotat, France",,Mediterranean Sea,350,,,20190921,Cleanup,,5.6057408,43.1662481,5.6057408,43.166248106552054,,,,,11,6,,108,,,17,,,,,,,,,,,,,,,,,,,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,0
Surfrider Foundation Europe,"1089 Boulevard de la Dune, 40150 Soorts-Hossegor, France",FR,North-east Atlantic Ocean,350,,,20190323,Cleanup,,-1.4410463000000002,43.666720899999994,-1.4410463000000002,43.66672090649812,,163,,,93,32,,102,,,8,,,,,,,93,,,,,3,137,,,,99,2,11,5,27,,,,,,,,,,,,92,,,,100,,,8,,,,,,,,,,4,1,,,,,2170,,127,,,,,,,,,,,,208,,,,,4,,,,,,,,,1,,,,,,,,,,,,13,7,,,,,,,,,,,,,,,,,,,,,,,1,,,23,,,,,,,,,,,,,,,49,,3,,,,,,,,34,,,0
Anemone,Navodari (Anemone),RO,Black Sea,100,Urban,Sandy,20190411,Monitoring,RO000007,28.630480000296405,44.310210000190864,28.63005000012611,44.30936000021033,,,292,,,5,,5,,1,,,,,,,,71,5,10,8,18,5,114,2,2,259,10,,42,6,54,8,,,,,,,,,,10,73,,1,1,9,,,,,,,,,45,20,3,,,,,89,3,,99,,119,2,,,,2,,,,,,,12,,,1,,1,,,15,4,,,,,,1,,,9,9,,,,,62,,,22,,30,1,,5,6,,,,30,1,,58,,,,,,,8,,,10,3,1,10,,,,,,,,,,,46,,,,67,3,1,,,,31,,,,189,1,1,1
Surfrider Foundation Europe,"CA-305, 39120, Cantabria, Espa?a",,North-east Atlantic Ocean,1500,,,20190430,Cleanup,,-3.9563838000000002,43.4482221,-3.9563838000000002,43.44822210652174,,40,,,27,5,,12,,,6,,,,,,,40,,,,,3,13,,,34,24,2,7,14,4,,,,,,,,,,,,7,,,,2,,,,,,,,,,,,,,4,,,,,4,,2,,,,,,,,,,,,13,,,,,4,,,,1,,,,,,,,,,,,,,,,,9,8,,,,,,,,,,,,,,,,,,,,,,,15,,,7,,,,,,,,,,,,,,,4,,7,,,,,,,,20,,,0
Surfrider Foundation Europe,"Unnamed Road, 33260 La Teste-de-Buch, France",,North-east Atlantic Ocean,3000,,,20190525,Cleanup,,-1.1181022,44.60917469999999,-1.1181022,44.609174706395216,,42,,,,8,,59,,,8,,,,,,,411,,,,,,105,,,59,,,,,107,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,,,2902,,47,,,,,,,,,,,,980,,,,,27,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20200709,Monitoring,,12.576667534348767,55.557674883681656,12.575087175880132,55.557611412989964,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,1,,,,,,4,,3,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"15 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,150,,,20191217,Cleanup,,7.3334347,43.6944484,7.3334347,43.69444840649513,,26,,,,,,,,,3,,,,,,,58,,,,,,,,,,16,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"12 Square du Ramponneau, 59800 Lille, France",,Unknown,1100,,,20190706,Cleanup,,3.0531746999999996,50.63862069999999,3.0531746999999996,50.6386207056972,,9,,,,11,,352,,,11,,,,,,,62,,,,,,1240,,,,,,16,43,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,,3,,,,,,,,,,,,,,,,,34,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"Dique de Contenci?n de Arenas Pr?ncipe Juan Carlos I, Huelva, Spain",,North-east Atlantic Ocean,150,,,20190412,Cleanup,,-6.9294228,37.17376029999999,-6.9294228,37.17376030715783,,41,,,2,,,34,,,2,,,,,,,19,,,,,2,2,,,17,5,2,6,2,17,,,,,,,,,52,,,216,,,,93,,,18,,,,,,,,,,,2,,,,,75,,10,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,,,,,,,,,,,,,,,,,,,,,,,13,,,4,,,,,,,,,,,,,,,2,,6,,,,,,,,7,,,0
Surfrider Foundation Europe,"Quatre Pompes, 29200 Brest, France",,North-east Atlantic Ocean,350,,,20191201,Cleanup,,-4.5311159,48.3729537,-4.5311159,48.37295370596731,,,,,6,,,5,,,,,,,,,,35,,,,,4,200,,,30,3,,3,3,4,,,,,,,,,1,,,15,,,,,,,2,,,,,,,,,,7,,,,,,30,,25,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,12,,18,,,,,,,,7,,,0
Surfrider Foundation Europe,"Malou Park, Chauss?e de Stockel 45, 1200 Woluwe-Saint-Lambert, Belgique",,Unknown,350,,,20190602,Cleanup,,4.438702,50.842470299999995,4.438702,50.84247030567244,,200,,,18,12,,200,,,,,,,,,,15,,,,,,100,,,180,20,5,40,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,40,,,10,,,,,,,,,,,,,,,9,,6,,,,,,,,7,,,0
Surfrider Foundation Europe,"Passeig del Mare Nostrum, 15, 08039 Barcelona, Espagne",ES,Mediterranean Sea,1200,,,20190607,Cleanup,,2.1885526,41.36942249999999,2.1885526,41.36942250674153,,50,,,32,39,,50,,,2,,,,,,,117,,,,,1,1200,,,100,20,40,132,20,212,,,,,,,,,,,,1,,,,1,,,4,,,,,,,,,,,5,,,,,500,,15,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,13,,,,,,,,18,,,0
Surfrider Foundation Europe,"Unnamed Road, 40510 Seignosse, France",,North-east Atlantic Ocean,150,,,20190518,Cleanup,,-1.384908,43.692693999999996,-1.384908,43.69269400649531,,154,,,11,16,,2,,,37,,,,,,,59,,,,,,2,,,6,4,,3,,5,,,,,,,,,1,,,,,,,139,,,,,,,,,,,,,4,,,,,,367,,9,,,,,,,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,0
Surfrider Foundation Europe,"6 Boulevard Mar?chal Foch, 76200 Dieppe, France",FR,North-east Atlantic Ocean,2000,,,20190602,Cleanup,,1.0754853,49.9288038,1.0754853,49.9288038057828,,3,,,,1,,5,,,1,,,,,,,,,,,,1,500,,,6,,,,,25,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,9,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,0
Sum Yazilim Community,Büyükada Beach,TR,Black Sea,563,Urban,Rocky,20190523,Cleanup,,27.68347146555598,40.499964147058606,27.68921195987459,40.50252581627205,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"Unnamed Road, Tarragona, Espa?a",ES,Mediterranean Sea,750,,,20190706,Cleanup,,1.2444909,41.1188827,1.2444909,41.11888270676743,,65,,,1,1,,,,,2,,,,,,,16,,,,,3,16,,,16,5,8,1,1,5,,,,,,,,,,,,36,,,,24,,,1,,,,,,,,,,16,2,,,,,25,,28,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,0
gBqsPxAZ,Praia da Saúde,PT,North-east Atlantic Ocean,718,Urban,Sandy,20190921,Cleanup,,-9.231207120478789,38.63363591919264,-9.226977615244667,38.62810951282117,,50,,,130,23,,3,,,,,,,,,,22,,,,,,4514,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"2 Rue du Moulin, 3857 Schifflange, Luxembourg",,Unknown,750,,,20190519,Cleanup,,6.0089304,49.5073243,6.0089304,49.507324305833215,,4,,,3,6,,2,,,9,,,,,,,24,,,,,,278,,,18,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,16,,,0
gBqsPxAZ,Asparuhovo beach,BG,Black Sea,102,Urban,Sandy,20190417,Monitoring,,27.912597542961016,43.17545164538007,27.91372458009628,43.1758585808135,,26,6,88,12,8,5,40,,4,25,1,,1,,6,13,208,56,23,79,6,8,162,10,1,398,11,18,63,23,92,,4,2,,,1,,,,,22,132,,,,7,,,,1,3,,,10,13,87,2,,,6,,20,31,,650,4,28,,,,,,,5,2,,,13,69,35,1,,7,4,,,48,8,,,1,,,5,,,10,7,3,4,,3,11,,,1,,,,1,5,111,,,22,38,,,53,,,,6,,,2,4,1,8,1,9,18,,,,2,,,,,,,,,3,,7,,62,,,,58,,,,,1,6,
Surfrider Foundation Europe,"Unnamed Road, 29170 Fouesnant, France",,North-east Atlantic Ocean,750,,,20190904,Cleanup,,-4.0215125,47.8572814,-4.0215125,47.857281406027504,,3,,,2,3,,11,,,1,,,,,,,12,,,,,1,7,,,3,1,1,,,,,,,,,,,,,,,51,,,,,,,1,,,,,,,,,,,2,,,,,26,,7,,,,,,,,,,,,6,,,,,3,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,7,,,,,,,,,,135,,,0
Blue Flag Turkey,Kumkoy Public Beach,TR,Mediterranean Sea,78,Urban,Sandy,20201013,Monitoring,,30.924910000000004,36.85378699999998,30.925781,36.853878,,0,0,,19,45,,0,,,,,,,,,,0,,,,,,121,,,0,,8,44,0,2,,,12,,,,,0,,,,0,,0,,,,,32,,,,,,,,,,,8,,0,3,,,,0,,,,,,,,,,20,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,12,4,28,48,52,,24,,,,12,,,,,,,,,,24,,,,,,,,,,,8,,,,,,,,,12,,,,,,,,0,,64,
Plastic Change,vadumstrand,null,North-east Atlantic Ocean,736,Rural,Other (mixed),20200418,Cleanup,,8.745571296797744,56.63423203400426,8.754186743605752,56.63888987266505,,2,2,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,1,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"Rue des Fautreaux, 17740 Sainte-Marie-de-R?, France",FR,North-east Atlantic Ocean,750,,,20191011,Cleanup,,-1.312062,46.15162699999999,-1.312062,46.151627006223094,,72,,,,,,37,,,13,,,,,,,116,,,,,2,46,,,9,52,1,2,3,9,,,,,,,,,14,,,118,,,,200,,,6,,,,,,,,,,18,1,,,,,1004,,70,,,,,,,,,,,,10,,,,,7,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,0
gBqsPxAZ,Kvavilnari,GE,Black Sea,50,Near river mouth,Sandy,20200202,Monitoring,GEO.2.R08.26.28.01.049 (national cadastral code),41.75558901838657,42.011130539944595,41.755758125340506,42.01069444508964,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gBqsPxAZ,Hellerup strand ,DK,North-east Atlantic Ocean,159,,,20200125,Cleanup,,12.582307290171812,55.73236675221706,12.58232030923388,55.73379617429977,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,3,,,0,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,2,,,,,,,0,,,,,,,1,,,,2,,,,,,,,2,,3,,,,,,,,3,,,,,,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Surfrider Foundation Europe,"7 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,350,,,20190423,Cleanup,,7.332939400000001,43.692815599999996,7.332939400000001,43.69281560649531,,63,,,,,,,,,26,,,,,,,139,,,,,11,17,,,,25,7,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"7 Plage du Mourillon, 83000 Toulon, France",FR,Mediterranean Sea,350,,,20191029,Cleanup,,5.9466201,43.10798679999999,5.9466201,43.107986806558294,,65,,,,,,,,,37,,,,,,,45,,,,,5,355,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,15,,,6,,,,,,,,,,,,,,,22,,10,,,,,,,,5,,,0
Plastic Change,Hellerup Strand,DK,North-east Atlantic Ocean,272,,,20190325,Cleanup,,12.582515818376672,55.73191802151261,12.582549505199827,55.73436480351554,0,2,7,0,0,0,0,0,0,1,0,0,0,0,,0,,3,0,1,0,0,1,67,0,0,2,0,0,0,2,1,0,0,0,0,,0,,,,,0,1,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,,,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,4,0,2,3,1,0,0,0,0,,,0,0,1,1,1,0,1,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,,,,2,0,0,0
Surfrider Foundation Europe,"119 All?e Antoine Pinay, 84000 Avignon, France",,Unknown,350,,,20191117,Cleanup,,4.8000829000000005,43.953081299999994,4.8000829000000005,43.95308130646704,,46,,,12,90,,15,,,15,,,,,,,22,,,,,5,100,,,38,,,57,7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,3,,,,,,,,,,,,10,,,,,8,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,32,,,160,,,,,,,,,,,,,,,7,,150,,,,,,,,58,,,
SOI,Primorskiy,RU,Black Sea,128,Urban,Sandy,20200816,Cleanup,,39.72879999999999,43.570899999999995,39.7278,43.57179999999999,,1,9,,,,,,,,,,,,,,,,,1,1,,,44,,,,1,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14,,,,2,,,,1,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Surfrider Foundation Europe,"Passeig del Mare Nostrum, 15, 08039 Barcelona, Spain",ES,Mediterranean Sea,1200,,,20190816,Cleanup,,2.1885526,41.36942249999999,2.1885526,41.36942250674153,,35,,,53,41,,20,,,6,,,,,,,146,,,,,2,1550,,,33,23,8,78,17,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,191,,,,,,,,,2,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,0
Anemone,Constanta (Anemone),RO,Black Sea,105,Urban,Sandy,20190408,Monitoring,RO000005 ,28.655380000109997,44.194119999860135,28.65575000000586,44.19320999971792,,,129,,,4,,1,3,,,,,,,,,31,3,3,10,2,3,1098,1,,29,15,1,2,9,79,,,1,,,,,,,,4,8,,,,1,,,,,,,,,1,,,,,,,7,,,14,,,,,,,,,,,,,,5,,,,,,,,8,,,,,,,,,,,,1,,,,9,,,33,,2,,,2,11,,1,,11,2,,54,,,,29,,,,,,,,9,81,,,,,,,,,,,67,,,,30,,2,,,,,,,,45,,1,
Surfrider Foundation Europe,"CA-305, 39120, Cantabria, Espa?a",ES,North-east Atlantic Ocean,350,,,20190907,Cleanup,,-5.7651087,43.59268509999999,-5.7651087,43.59268510650613,,52,,,3,21,,4,,,6,,,,,,,108,,,,,1,10,,,6,14,1,12,6,9,,,,,,,,,7,,,229,,,,17,,,15,,,,,,,,,,1,16,,,,,225,,36,,,,,,,,,,,,89,,,,,6,,,,,,,,,3,,,,,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,11,,2,,,,,,,,15,,,0
Perseus,Gradina,BG,Black Sea,124,Urban,Sandy,20200601,Cleanup,,27.669819162397012,42.408954717780475,27.66837123536421,42.409241406083716,,1,7,,5,7,,7,,3,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,5,10,,4,,,,,,,,,1,,,,,,,,,1,9,,,,1,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Plastic Change,lindholm strand,,North-east Atlantic Ocean,317,Urban,Pebbels,20191105,Cleanup,,9.894539739038269,57.063919162396886,9.889769560827734,57.06514522826854,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1
Surfrider Foundation Europe,"Passeig del Mare Nostrum, 15, 08039 Barcelona, Espagne",ES,Mediterranean Sea,1200,,,20190906,Cleanup,,2.1885526,41.36942249999999,2.1885526,41.36942250674153,,41,,,74,35,,3,,,4,,,,,,,165,,,,,10,1500,,,10,20,33,43,23,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,85,,,13,,,,,,,,,,,,,,,,,9,,,,,,,,,,,0
gBqsPxAZ,Kvavilnari,GE,Black Sea,50,Near river mouth,Sandy,20190424,Monitoring,GEO.2.R08.26.28.01.049 (national cadastral code),41.75558901838657,42.011130539944595,41.755758125340506,42.01069444508964,,,,,160,,35,8,,9,,,,,,2,,90,,,,,,,,,,,,56,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,140,,,,60,,,,,,,,,,,,,,,,1,17,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,1,
EMBLAS,Tskaltsminda,GE,Black Sea,31,Urban,Sandy,20190831,Monitoring,,41.757181278275006,42.00160263589562,41.75718662567361,42.00188357936417,,,,,106,41,12,23,,15,,,,2,,,,115,4,9,,,6,,2,,17,12,4,9,2,5,,,,,,,,,,,,10,,,,1,,,,,,,,2,,3,,,,17,,14,,12,12,3,28,,,,,,,7,,,,,11,,,,10,26,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,,,,,,,,,,,,,,,,,,,1,4,1,4,,,,,,,,,
Plastic Change,svanemøllevej strand,DK,North-east Atlantic Ocean,106,,,20200131,Cleanup,,12.583500570455739,55.719799393883186,12.583316116683493,55.72075195024577,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
