CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"Promenade Andr? Pradayrol - Plage de la, Chemin de la Pointe de l'Aiguille, 06590 Th?oule-sur-Mer, France",,Mediterranean Sea,750,,,20191027,Cleanup,,6.950200399999999,43.5059368,6.950200399999999,43.505936806515514,,20,,,3,,,5,,,3,,,,,,,3,,,,,,300,,,3,10,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,15,,,0
gBqsPxAZ,Hellerup strand ,DK,North-east Atlantic Ocean,159,,,20191229,Cleanup,,12.582307290171812,55.73236675221706,12.58232030923388,55.73379617429977,,0,0,,0,0,,0,,,,,,,,,,0,,,,,,8,,,3,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Blue Flag Turkey,Sar?germe Plaj?,TR,Mediterranean Sea,90,Rural,Sandy,20201017,Monitoring,,28.6976369,36.70162769999998,28.6986139,36.7018374,38,24,,,4,1,,,,,,,,,,,,40,,,,,,817,1,,,,,12,,8,,,,,,,,,,,,20,,,,,,,,,,,,,7,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,8,,,2,,,,10,5,25,,,50,,,,1,,,,8,,,,,,10,,,20,,,,,,,,,,,,,,,1,,6,,,,,,,,,,6,
Surfrider Foundation Europe,"Rue Ren? Gambier, 80450 Camon, France",,Unknown,750,,,20190720,Cleanup,,2.3523668,49.8822236,2.3523668,49.882223605788404,,85,,,8,12,,30,,,,,,,,,,52,,,,,3,1441,,,101,31,15,24,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,34,,7,,,,,,,,,,,,1,,,,,5,,,,9,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,47,,,181,,,,,,,,,,,,,,,17,,19,,,,,,,,12,,,0
Mare Nostrum,Saturn,RO,Black Sea,102,Urban,Sandy,20201106,Monitoring,RO000002,28.59050999982037,43.83461000009317,28.590550000003354,43.833689999753865,,5,37,15,6,3,,19,,2,,,,,,,,32,4,7,5,25,3,484,2,,83,3,3,26,20,74,33,1,0,,,,,,,,,19,,,,1,,,,,,,,,14,1,,,,,,5,,,84,,42,,,,,20,,1,,,,,8,,,,,2,,,7,3,,,,,,,,,3,15,,,,,16,,5,54,,4,,,7,47,,,,158,1,,105,,,,8,,,,3,,7,,,17,,,,,,11,,,,1,10,,,,24,,2,,,,7,,,,29,,9,
Plastic Change,Hellerup Strand,DK,North-east Atlantic Ocean,96,,,20200127,Cleanup,,12.582280931715275,55.73233443220719,12.58224724489212,55.73319745276525,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
Surfrider Foundation Europe,"1237 Route de la Barre, 40220 Tarnos, France",,Unknown,8000,,,20190630,Cleanup,,-0.5588787,44.90061499999999,-0.5588787,44.900615006363054,,,,,200,200,,,,,,,,,,,,,,,,,,1800,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,0
Surfrider Foundation Europe,"Av. Playa San Juan de la Canal, 26E, 39110 Santa Cruz de Bezana, Cantabria, Espa?a",ES,North-east Atlantic Ocean,350,,,20190606,Cleanup,,-3.89358,43.47306999999999,-3.89358,43.47307000651905,,4,,,4,2,,,,,3,,,,,,,14,,,,,,252,,,42,11,1,,3,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,0
Surfrider Foundation Europe,"30 Chemin du Gorgen, 29350 Mo?lan-sur-Mer, France",,North-east Atlantic Ocean,750,,,20190820,Cleanup,,-3.7122954000000004,47.807516,-3.7122954000000004,47.80751600603329,,50,,,2,1,,7,,,1,,,,,,,8,,,,,,95,,,15,2,,3,1,3,,,,,,,,,1,,,22,,,,,,,,,,,,,,,,,,1,,,,,62,,4,,,,,,,,,,,,2,,,,,2,,,,1,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,2,,,,,,,,120,,,0
Surfrider Foundation Europe,"Pla?a del Mar, Barcelona, Espa?a",ES,Mediterranean Sea,750,,,20191110,Cleanup,,2.1887574,41.3748321,2.1887574,41.37483210674097,,,,,3,,,,,,,,,,,,,38,,,,,1,500,,,,10,5,18,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,24,,,22,,,,,,,,,,,,,,,,,4,,,,,,,,10,,,0
